# OCT iter       1519;   J_T =   5.984794090181E-03;   pulse_id =          1
# converged
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  5.84042021010505241E+00 -1.68908838126838070E+01  1.19610927288988023E+02
  5.86543271635817831E+00 -1.85135365228824220E+01  1.18806266741201895E+02
  5.89044522261130510E+00 -2.01292470398587113E+01  1.17996566338493622E+02
  5.91545772886443189E+00 -2.17367146946892227E+01  1.17182022908367131E+02
  5.94047023511755867E+00 -2.33346503091352240E+01  1.16362837809285438E+02
  5.96548274137068457E+00 -2.49217777723610290E+01  1.15539215611453585E+02
  5.99049524762381136E+00 -2.64968357054527353E+01  1.14711362526155980E+02
  6.01550775387693815E+00 -2.80585792383828867E+01  1.13879484622069199E+02
  6.04052026013006493E+00 -2.96057819214574316E+01  1.13043785868845191E+02
  6.06553276638319083E+00 -3.11372377898718646E+01  1.12204466049131568E+02
  6.09054527263631762E+00 -3.26517635958835157E+01  1.11361718580158097E+02
  6.11555777888944441E+00 -3.41482012183102270E+01  1.10515728285148498E+02
  6.14057028514257119E+00 -3.56254202537653342E+01  1.09666669153175732E+02
  6.16558279139569709E+00 -3.70823207882845765E+01  1.08814702123805844E+02
  6.19059529764882388E+00 -3.85178363419953698E+01  1.07959972930077200E+02
  6.21560780390195067E+00 -3.99309369733422272E+01  1.07102610030138663E+02
  6.24062031015507745E+00 -4.13206325232663758E+01  1.06242722654325974E+02
  6.26563281640820335E+00 -4.26859759738331022E+01  1.05380398990754017E+02
  6.29064532266133014E+00 -4.40260668902348016E+01  1.04515704528682974E+02
  6.31565782891445693E+00 -4.53400549100621220E+01  1.03648680575112280E+02
  6.34067033516758372E+00 -4.66271432393203256E+01  1.02779342956339875E+02
  6.36568284142070961E+00 -4.78865921110780377E+01  1.01907680912689045E+02
  6.39069534767383640E+00 -4.91177221599117004E+01  1.01033656191268818E+02
  6.41570785392696319E+00 -5.03199176635754952E+01  1.00157202338581158E+02
  6.44072036018008998E+00 -5.14926296026735812E+01  9.92782241920529742E+01
  6.46573286643321588E+00 -5.26353784895058681E+01  9.83965975671220860E+01
  6.49074537268634266E+00 -5.37477569188077169E+01  9.75121691344356805E+01
  6.51575787893946945E+00 -5.48294317957075350E+01  9.66247564799423202E+01
  6.54077038519259624E+00 -5.58801461998824678E+01  9.57341483392118562E+01
  6.56578289144572214E+00 -5.68997208495206834E+01  9.48401049961819069E+01
  6.59079539769884892E+00 -5.78880551341902745E+01  9.39423588356491308E+01
  6.61580790395197571E+00 -5.88451276919376127E+01  9.30406150381972026E+01
  6.64082041020510250E+00 -5.97709965127727187E+01  9.21345524058560699E+01
  6.66583291645822840E+00 -6.06657985579429067E+01  9.12238243065734196E+01
  6.69084542271135518E+00 -6.15297488919068414E+01  9.03080597255088264E+01
  6.71585792896448197E+00 -6.23631393314977203E+01  8.93868644112699968E+01
  6.74087043521760876E+00 -6.31663366242126330E+01  8.84598221054063742E+01
  6.76588294147073466E+00 -6.39397801747275523E+01  8.75264958437831666E+01
  6.79089544772386144E+00 -6.46839793454179670E+01  8.65864293188611640E+01
  6.81590795397698823E+00 -6.53995103627168106E+01  8.56391482924011740E+01
  6.84092046023011502E+00 -6.60870128664178083E+01  8.46841620486609372E+01
  6.86593296648324092E+00 -6.67471861434254805E+01  8.37209648788104204E+01
  6.89094547273636771E+00 -6.73807850908849844E+01  8.27490375880093296E+01
  6.91595797898949449E+00 -6.79886159559908094E+01  8.17678490173650800E+01
  6.94097048524262128E+00 -6.85715319011466846E+01  8.07768575738816708E+01
  6.96598299149574718E+00 -6.91304284434030194E+01  7.97755127624254214E+01
  6.99099549774887397E+00 -6.96662388163989164E+01  7.87632567147245908E+01
  7.01600800400200075E+00 -7.01799293013627761E+01  7.77395257114597769E+01
  7.04102051025512754E+00 -7.06724945712099810E+01  7.67037516945537590E+01
  7.06603301650825344E+00 -7.11449530885352175E+01  7.56553637678506874E+01
  7.09104552276138023E+00 -7.15983425944358629E+01  7.45937896854119060E+01
  7.11605802901450701E+00 -7.20337157207955414E+01  7.35184573276662263E+01
  7.14107053526763380E+00 -7.24521357540502606E+01  7.24287961665859541E+01
  7.16608304152075970E+00 -7.28546725736731418E+01  7.13242387218729448E+01
  7.19109554777388649E+00 -7.32423987838487704E+01  7.02042220108523338E+01
  7.21610805402701327E+00 -7.36163860521564715E+01  6.90681889952968220E+01
  7.24112056028013917E+00 -7.39777016646927166E+01  6.79155900287704384E+01
  7.26613306653326596E+00 -7.43274053030250030E+01  6.67458843082588800E+01
  7.29114557278639275E+00 -7.46665460448003699E+01  6.55585413338080940E+01
  7.31615807903951954E+00 -7.49961595867455060E+01  6.43530423796774613E+01
  7.34117058529264543E+00 -7.53172656862767838E+01  6.31288819800791074E+01
  7.36618309154577222E+00 -7.56308658159879457E+01  6.18855694319647611E+01
  7.39119559779889901E+00 -7.59379410238736483E+01  6.06226303165583928E+01
  7.41620810405202580E+00 -7.62394499912940233E+01  5.93396080404194848E+01
  7.44122061030515169E+00 -7.65363272803045049E+01  5.80360653958297092E+01
  7.46623311655827848E+00 -7.68294817620201798E+01  5.67115861392072986E+01
  7.49124562281140527E+00 -7.71197952180880435E+01  5.53657765851662305E+01
  7.51625812906453206E+00 -7.74081211080202820E+01  5.39982672127319319E+01
  7.54127063531765796E+00 -7.76952834959947580E+01  5.26087142791813420E+01
  7.56628314157078474E+00 -7.79820761316875490E+01  5.11968014360100909E+01
  7.59129564782391153E+00 -7.82692616806908177E+01  4.97622413406473356E+01
  7.61630815407703832E+00 -7.85575711009731492E+01  4.83047772568209695E+01
  7.64132066033016422E+00 -7.88477031626214568E+01  4.68241846358704805E+01
  7.66633316658329100E+00 -7.91403241087104163E+01  4.53202726708699473E+01
  7.69134567283641779E+00 -7.94360674555027231E+01  4.37928858151359393E+01
  7.71635817908954458E+00 -7.97355339302756221E+01  4.22419052565596047E+01
  7.74137068534267048E+00 -8.00392915448882576E+01  4.06672503391928970E+01
  7.76638319159579726E+00 -8.03478758027579119E+01  3.90688799236390096E+01
  7.79139569784892405E+00 -8.06617900361274565E+01  3.74467936779899944E+01
  7.81640820410205084E+00 -8.09815058695849075E+01  3.58010332913388467E+01
