# Formula "1freq_rwa" with E0 = 120.0, T = 50, w_L = 5.9325, w_d = 5.9325
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  4.91495747873937017E+00  4.64588216968721746E+00  0.00000000000000000E+00
  4.93996998499249695E+00  4.69829166080586980E+00  0.00000000000000000E+00
  4.96498249124562285E+00  4.75106066431292007E+00  0.00000000000000000E+00
  4.98999499749874964E+00  4.80419035324648558E+00  0.00000000000000000E+00
  5.01500750375187643E+00  4.85768190064982885E+00  0.00000000000000000E+00
  5.04002001000500321E+00  4.91153647949269700E+00  0.00000000000000000E+00
  5.06503251625813000E+00  4.96575526259246658E+00  0.00000000000000000E+00
  5.09004502251125590E+00  5.02033942253518628E+00  0.00000000000000000E+00
  5.11505752876438269E+00  5.07529013159653353E+00  0.00000000000000000E+00
  5.14007003501750948E+00  5.13060856166252588E+00  0.00000000000000000E+00
  5.16508254127063537E+00  5.18629588415022624E+00  0.00000000000000000E+00
  5.19009504752376216E+00  5.24235326992827400E+00  0.00000000000000000E+00
  5.21510755377688895E+00  5.29878188923729532E+00  0.00000000000000000E+00
  5.24012006003001574E+00  5.35558291161022559E+00  0.00000000000000000E+00
  5.26513256628314252E+00  5.41275750579248527E+00  0.00000000000000000E+00
  5.29014507253626842E+00  5.47030683966208287E+00  0.00000000000000000E+00
  5.31515757878939521E+00  5.52823208014962209E+00  0.00000000000000000E+00
  5.34017008504252200E+00  5.58653439315816769E+00  0.00000000000000000E+00
  5.36518259129564790E+00  5.64521494348302166E+00  0.00000000000000000E+00
  5.39019509754877468E+00  5.70427489473146743E+00  0.00000000000000000E+00
  5.41520760380190147E+00  5.76371540924236481E+00  0.00000000000000000E+00
  5.44022011005502826E+00  5.82353764800563223E+00  0.00000000000000000E+00
  5.46523261630815504E+00  5.88374277058177864E+00  0.00000000000000000E+00
  5.49024512256128094E+00  5.94433193502117430E+00  0.00000000000000000E+00
  5.51525762881440773E+00  6.00530629778341662E+00  0.00000000000000000E+00
  5.54027013506753452E+00  6.06666701365649352E+00  0.00000000000000000E+00
  5.56528264132066042E+00  6.12841523567596980E+00  0.00000000000000000E+00
  5.59029514757378720E+00  6.19055211504407144E+00  0.00000000000000000E+00
  5.61530765382691399E+00  6.25307880104869174E+00  0.00000000000000000E+00
  5.64032016008004078E+00  6.31599644098237523E+00  0.00000000000000000E+00
  5.66533266633316757E+00  6.37930618006123407E+00  0.00000000000000000E+00
  5.69034517258629347E+00  6.44300916134380941E+00  0.00000000000000000E+00
  5.71535767883942025E+00  6.50710652564988212E+00  0.00000000000000000E+00
  5.74037018509254704E+00  6.57159941147927906E+00  0.00000000000000000E+00
  5.76538269134567294E+00  6.63648895493055235E+00  0.00000000000000000E+00
  5.79039519759879973E+00  6.70177628961975991E+00  0.00000000000000000E+00
  5.81540770385192651E+00  6.76746254659906032E+00  0.00000000000000000E+00
  5.84042021010505330E+00  6.83354885427538594E+00  0.00000000000000000E+00
  5.86543271635818009E+00  6.90003633832907326E+00  0.00000000000000000E+00
  5.89044522261130599E+00  6.96692612163240632E+00  0.00000000000000000E+00
  5.91545772886443277E+00  7.03421932416825069E+00  0.00000000000000000E+00
  5.94047023511755956E+00  7.10191706294858349E+00  0.00000000000000000E+00
  5.96548274137068546E+00  7.17002045193302795E+00  0.00000000000000000E+00
  5.99049524762381225E+00  7.23853060194744202E+00  0.00000000000000000E+00
  6.01550775387693903E+00  7.30744862060242539E+00  0.00000000000000000E+00
  6.04052026013006582E+00  7.37677561221184774E+00  0.00000000000000000E+00
