#       x [dimensionless]               E_01 [MHz]               E_10 [MHz]               E_11 [MHz]               E_20 [MHz]               E_02 [MHz]              E_cav [MHz]                 w1 [MHz]                 w2 [MHz]                 wc [MHz]
   1.4848484848484853E+00   6.4647316232858284E+03   5.9769509609407687E+03   1.2437660303553339E+04   1.1689971193848061E+04   1.2545654635902210E+04   6.2037719612281071E+03   6.0000000000000000E+03   6.4454545454545460E+03   6.2000000000000000E+03
   1.5454545454545459E+00   6.4816835232934245E+03   5.9769890458286100E+03   1.2454923140438377E+04   1.1689977783667244E+04   1.2574334906773365E+04   6.2049637945144932E+03   6.0000000000000000E+03   6.4636363636363640E+03   6.2000000000000000E+03
   1.6060606060606064E+00   6.4987760174903378E+03   5.9770242967370868E+03   1.2472429981562484E+04   1.1689984057398098E+04   1.2602989388913105E+04   6.2060178675909410E+03   6.0000000000000000E+03   6.4818181818181820E+03   6.2000000000000000E+03
   1.6666666666666670E+00   6.5159874157443792E+03   5.9770570180735112E+03   1.2490042227675498E+04   1.1689990037326095E+04   1.2631313338004364E+04   6.2069555661821105E+03   6.0000000000000000E+03   6.5000000000000000E+03   6.2000000000000000E+03
   1.7272727272727275E+00   6.5333000500077615E+03   5.9770874722294539E+03   1.2507713102403170E+04   1.1689995743679880E+04   1.2659097629031465E+04   6.2077942959447682E+03   6.0000000000000000E+03   6.5181818181818180E+03   6.2000000000000000E+03
   1.7878787878787881E+00   6.5506994356661744E+03   5.9771158865758043E+03   1.2525424911567126E+04   1.1690001194864686E+04   1.2686200091984480E+04   6.2085483141218137E+03   6.0000000000000000E+03   6.5363636363636360E+03   6.2000000000000000E+03
   1.8484848484848486E+00   6.5681736199608276E+03   5.9771424591086834E+03   1.2543169895513856E+04   1.1690006407664674E+04   1.2893944228371714E+04   6.2092293754760613E+03   6.0000000000000000E+03   6.5545454545454550E+03   6.2000000000000000E+03
   1.9090909090909092E+00   6.5857126750698826E+03   5.9771673630378755E+03   1.2560943913088915E+04   1.1690011397418370E+04   1.2921312060265418E+04   6.2098472346195149E+03   6.0000000000000000E+03   6.5727272727272730E+03   6.2000000000000000E+03
   1.9696969696969697E+00   6.6033083024464868E+03   5.9771907505428971E+03   1.2578744221820649E+04   1.1690016178172038E+04   1.2949670777515625E+04   6.2104100379198499E+03   6.0000000000000000E+03   6.5909090909090910E+03   6.2000000000000000E+03
   2.0303030303030303E+00   6.6209535226104344E+03   5.9772127558663633E+03   1.2596568666016588E+04   1.1690020762813205E+04   1.2978958401964264E+04   6.2109246306142595E+03   6.0000000000000000E+03   6.6090909090909090E+03   6.2000000000000000E+03
   2.0909090909090908E+00   6.6386424306679837E+03   5.9772334978782810E+03   1.2614415374874266E+04   1.1690025163188451E+04   1.3009096294051753E+04   6.2113967987264632E+03   6.0000000000000000E+03   6.6272727272727270E+03   6.2000000000000000E+03
   2.1515151515151514E+00   6.6563700025420203E+03   5.9772530822129611E+03   1.2632282650726382E+04   1.1690029390206775E+04   1.3039996902698556E+04   6.2118314606995664E+03   6.0000000000000000E+03   6.6454545454545450E+03   6.2000000000000000E+03
   2.2121212121212119E+00   6.6741319404921815E+03   5.9772716030590818E+03   1.2650168928263018E+04   1.1690033453930781E+04   1.3071570807749304E+04   6.2122328200852498E+03   6.0000000000000000E+03   6.6636363636363640E+03   6.2000000000000000E+03
   2.2727272727272725E+00   6.6919245492266491E+03   5.9772891446674766E+03   1.2668072759285300E+04   1.1690037363657415E+04   1.3103732047827310E+04   6.2126044879242254E+03   6.0000000000000000E+03   6.6818181818181820E+03   6.2000000000000000E+03
   2.3333333333333339E+00   6.7097446359598807E+03   5.9773057826270442E+03   1.2685992805689937E+04   1.1690041127989769E+04   1.3136401489493901E+04   6.2129495814130732E+03   6.0000000000000000E+03   6.7000000000000000E+03   6.2000000000000000E+03
   2.3939393939393945E+00   6.7275894293181191E+03   5.9773215849492699E+03   1.2703927834358983E+04   1.1690044754900671E+04   1.3169508497046612E+04   6.2132708039145946E+03   6.0000000000000000E+03   6.7181818181818180E+03   6.2000000000000000E+03
   2.4545454545454550E+00   6.7454565131635900E+03   5.9773366129930364E+03   1.2721876711905039E+04   1.1690048251789492E+04   1.3202991364705806E+04   6.2135705102071952E+03   6.0000000000000000E+03   6.7363636363636360E+03   6.2000000000000000E+03
   2.5151515151515156E+00   6.7633437722967801E+03   5.9773509222584744E+03   1.2739838398837705E+04   1.1690051625532951E+04   1.3236796969479197E+04   6.2138507599902032E+03   6.0000000000000000E+03   6.7545454545454550E+03   6.2000000000000000E+03
   2.5757575757575761E+00   6.7812493476655709E+03   5.9773645630694809E+03   1.2757811943260098E+04   1.1690054882530578E+04   1.3270880006108109E+04   6.2141133619922211E+03   6.0000000000000000E+03   6.7727272727272730E+03   6.2000000000000000E+03
   2.6363636363636367E+00   6.7991715992267127E+03   5.9773775811625965E+03   1.2775796474344919E+04   1.1690058028745421E+04   1.3305202051067703E+04   6.2143599105199246E+03   6.0000000000000000E+03   6.7909090909090910E+03   6.2000000000000000E+03
   2.6969696969696972E+00   6.8171090750006988E+03   5.9773900181977806E+03   1.2793791195824371E+04   1.1690061069740645E+04   1.3339730606124773E+04   6.2145918158925924E+03   6.0000000000000000E+03   6.8090909090909090E+03   6.2000000000000000E+03
   2.7575757575757578E+00   6.8350604851644021E+03   5.9774019122025929E+03   1.2811795379674390E+04   1.1690064010712733E+04   1.3374438202845166E+04   6.2148103299059003E+03   6.0000000000000000E+03   6.8272727272727270E+03   6.2000000000000000E+03
   2.8181818181818183E+00   6.8530246802618931E+03   5.9774132979592687E+03   1.2829808360112067E+04   1.1690066856521022E+04   1.3409301604954504E+04   6.2150165672335424E+03   6.0000000000000000E+03   6.8454545454545460E+03   6.2000000000000000E+03
   2.8787878787878789E+00   6.8710006327991723E+03   5.9774242073434725E+03   1.2847829527978123E+04   1.1690069611714811E+04   1.3444301119229225E+04   6.2152115234938974E+03   6.0000000000000000E+03   6.8636363636363640E+03   6.2000000000000000E+03
   2.9393939393939394E+00   6.8889874216317112E+03   5.9774346696214780E+03   1.2865858325539732E+04   1.1690072280557732E+04   1.3479420011481474E+04   6.2153960905651184E+03   6.0000000000000000E+03   6.8818181818181820E+03   6.2000000000000000E+03
   3.0000000000000000E+00   6.9069842186681435E+03   5.9774447117117206E+03   1.2883894241720698E+04   1.1690074867049731E+04   1.3514644017548122E+04   6.2155710696201377E+03   6.0000000000000000E+03   6.9000000000000000E+03   6.2000000000000000E+03
